ceremony,director,film,bool_win
74,Ridley Scott,Black Hawk Down,0
74,Robert Altman,Gosford Park,0
74,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,0
74,David Lynch,Mulholland Drive,0
75,Roman Polanski,The Pianist,1
75,Rob Marshall,Chicago,0
75,Martin Scorsese,Gangs of New York,0
75,Stephen Daldry,The Hours,0
75,Pedro Almodovar,Talk to Her,0
76,Peter Jackson,The Lord of the Rings: The Return of the King,1
76,Fernando Meirelles,City of God,0
76,Sofia Coppola,Lost in Translation,0
76,Peter Weir,Master and Commander: The Far Side of the World,0
76,Clint Eastwood,Mystic River,0
77,Clint Eastwood,Million Dollar Baby,1
77,Martin Scorsese,The Aviator,0
77,Taylor Hackford,Ray,0
77,Alexander Payne,Sideways,0
77,Mike Leigh,Vera Drake,0
78,Ang Lee,Brokeback Mountain,1
78,Bennett Miller,Capote,0
78,Paul Haggis,Crash,0
78,George Clooney,"Good Night, and Good Luck",0
78,Steven Spielberg,Munich,0
79,Martin Scorsese,The Departed,1
79,Alejandro Gonzalez Inarritu,Babel,0
79,Clint Eastwood,Letters from Iwo Jima,0
79,Stephen Frears,The Queen,0
79,Paul Greengrass,United 93,0
80,The Coen Brothers,No Country for Old Men,1
80,Julian Schnabel,The Diving Bell and the Butterfly,0
80,Jason Reitman,Juno,0
80,Tony Gilroy,Michael Clayton,0
80,Paul Thomas Anderson,There Will Be Blood,0
81,Danny Boyle,Slumdog Millionaire,1
81,David Fincher,The Curious Case of Benjamin Button,0
81,Ron Howard,Frost/Nixon,0
81,Gus Van Sant,Milk,0
81,Stephen Daldry,The Reader,0
82,Kathryn Bigelow,The Hurt Locker,1
82,James Cameron,Avatar,0
82,Quentin Tarantino,Inglorious Basterds,0
82,Lee Daniels,Precious: Based on the Novel 'Push' by Sapphire,0
82,Jason Reitman,Up in the Air,0
83,Tom Hooper,The King's Speech,1
83,Darren Aronofsky,Black Swan,0
83,David O. Russell,The Fighter,0
83,David Fincher,The Social Network,0
83,The Coen Brothers,True Grit,0
84,Michael Hazanavicius,The Artist,1
84,Alexander Payne,The Descendants,0
84,Martin Scorsese,Hugo,0
84,Woody Allen,Midnight in paris,0
84,Terrence Malick,The Tree of Life,0
85,Ang Lee,Life of Pi,1
85,Michael Haneke,Amour,0
85,Behn Zeitlin,Beasts of the Southern Wild,0
85,Steven Spielberg,Lincoln,0
85,David O. Russell,Silver Linings Playbook,0
86,Alfonso Cauron,Gravity,1
86,David O. Russell,American Hustle,0
86,Alexander Payne,Nebraska,0
86,Steve McQueen,12 Years a Slave,0
86,Martin Scorsese,The Wolf of Wall Street,0
87,Alejandro Gonzalez Inarritu,Birdman or (The Unexpected Virtue of Ignorance),1
87,Richard Linklater,Boyhood,0
87,Bennett Miller,Foxcatcher,0
87,Wes Anderson,The Grand Budapest Hotel,0
87,Morten Tyldum,The Imitation Game,0
88,Alejandro Gonzalez Inarritu,The Revenant,1
88,Adam McKay,The Big Short,0
88,George Miller,Mad Max: Fury Road,0
88,Lenny Abrahamson,Room,0
88,Tom McCarthy,Spotlight,0
89,Damien Shazelle,La La Land,1
89,Denis Villeneuve,Whiplash,0
89,Mel Gibson,Hacksaw Ridge,0
89,Kenneth Lonergan,Manchester by the Sea,0
89,Barry Jenkins,Moonlight,0
90,Guillermo del Toro,The Shape of Water,1
90,Christopher Nolan,Dunkirk,0
90,Jordan Peele,Get Out,0
90,Greta Gerwig,Lady Bird,0
90,Paul Thomas Anderson,Phantom Thread,0
91,Alfonso Cuaron,Roma,1
91,Spike Lee,BlacKkKlansman,0
91,Pawel Pawlikowski,Cold War,0
91,Yorgos Lanthimos,The Favourite,0
91,Adam McKay,Vice,0
92,Bong Joon-ho,Parasite,1
92,Martin Scorsese,The Irishman,0
92,Todd Phillips,Joker,0
92,Sam Mendes,1917,0
92,Quentin Tarantino,Once Upon a Time in Hollywood,0
93,Chloe Zhao,Nomadland,1
93,Thomas Vinterburg,Another Round,0
93,David Fincher,Mank,0
93,Lee Isaac Chung,Minari,0
93,Emerald Fennell,Promising Young Woman,0
94,Jane Campion,The Power of the Dog,1
94,Kenneth Bragh,Belfast,0
94,Ryusuke Hamaguchi,Drive My Car,0
94,Paul Thomas Anderson,Licorice Pizza,0
94,Steven Spielberg,West Side Story,0
95,Daniels,Everything Everywhere All at Once,1
95,Martin McDonagh,The Banshees of Inisherin,0
95,Steven Spielberg,The Fabelmans,0
95,Todd Field,Tar,0
95,Ruben Ostlund,Triangle of Sadness,0
96,Justine Triet,Anatomy of a Fall,
96,Martin Scorsese,The Killers of the Flower Moon,
96,Christopher Nolan,Oppenheimer,
96,Yorgos Lanthimos,Poor Things,
96,Jonathan Glazer,The Zone of Interest,
